label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_k_64,64,32,8192,11.186,0.014,0.001,3.104,1.724,6.134,0.217,0.000,22347776,263011,0.274194,0.333333,0.059140
vary_k_128,128,32,8192,11.074,0.028,0.001,3.053,1.736,6.027,0.211,0.000,30638080,263011,0.346774,0.333333,0.013441
vary_k_256,256,32,8192,11.278,0.055,0.002,3.106,1.709,6.132,0.209,0.000,37126144,263011,0.346774,0.333333,0.013441
vary_k_512,512,32,16384,21.760,0.111,0.005,6.242,3.047,11.942,0.386,0.000,64241664,525155,0.306452,0.333333,0.026882
vary_m_16,128,16,8192,11.448,0.029,0.001,3.219,1.726,6.258,0.216,0.000,64307200,263011,0.333333,0.333333,0.000000
vary_m_32,128,32,8192,11.398,0.029,0.001,3.250,1.720,6.226,0.215,0.000,70778880,263011,0.346774,0.333333,0.013441
vary_m_64,128,64,8192,11.414,0.028,0.002,3.234,1.723,6.179,0.213,0.000,79331328,263011,0.333333,0.333333,0.000000
vary_m_128,128,128,16384,21.547,0.028,0.002,6.351,3.026,11.794,0.380,0.000,102514688,525155,0.330709,0.333333,0.002625
vary_size_100,128,32,8192,11.327,0.028,0.001,3.182,1.690,6.181,0.213,0.000,102809600,263011,0.346774,0.333333,0.013441
vary_size_1000,128,32,8192,11.640,0.293,0.002,3.216,1.702,6.226,0.213,0.000,102940672,263011,0.346774,0.333333,0.013441
vary_size_10000,128,32,8192,14.239,2.933,0.002,3.180,1.744,6.193,0.212,0.000,104005632,263011,0.387097,0.333333,0.053763
