scenario,method,universe_size,set_size,k,m,ring_dim,num_cts,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_universe_1024,piccard,1024,500,128,32,8192,1,0.250,5.544,13.793,0.347,19.942,22102016,263011,0.395161,0.333333,0.061828
vary_universe_1024,baseline,1024,500,0,0,16384,1,0.064,10.994,24.394,0.605,36.014,49086464,525155,0.333333,0.333333,0.000000
vary_universe_4096,piccard,4096,500,128,32,8192,1,0.253,5.601,13.784,0.348,19.964,49987584,263011,0.395161,0.333333,0.061828
vary_universe_4096,baseline,4096,500,0,0,16384,1,0.064,11.183,25.079,0.635,36.980,72089600,525155,0.333333,0.333333,0.000000
vary_universe_16384,piccard,16384,500,128,32,8192,1,0.251,5.594,13.440,0.341,19.608,74252288,263011,0.395161,0.333333,0.061828
vary_universe_16384,baseline,16384,500,0,0,16384,1,0.063,10.905,24.492,0.601,35.988,94814208,525155,0.333333,0.333333,0.000000
vary_universe_65536,piccard,65536,500,128,32,8192,1,0.250,5.656,13.712,0.355,19.976,96043008,263011,0.395161,0.333333,0.061828
vary_universe_65536,baseline,65536,500,0,0,65536,1,0.094,43.095,95.966,2.269,141.113,226295808,2098019,0.333333,0.333333,0.000000
vary_universe_262144,piccard,262144,500,128,32,8192,1,0.250,5.916,14.633,0.381,21.162,226508800,263011,0.395161,0.333333,0.061828
vary_universe_262144,baseline,262144,500,0,0,262144,1,0.210,176.209,444.341,9.327,631.286,787005440,8389475,0.333333,0.333333,0.000000
vary_universe_524288,piccard,524288,500,128,32,8192,1,0.245,5.693,16.826,0.396,23.518,787496960,263011,0.395161,0.333333,0.061828
vary_universe_524288,baseline,524288,500,0,0,524288,1,0.408,371.286,968.875,22.853,1363.987,1793785856,16778083,0.333333,0.333333,0.000000
vary_universe_1048576,piccard,1048576,500,128,32,8192,1,0.250,6.564,20.314,0.517,27.597,1793802240,263011,0.395161,0.333333,0.061828
vary_universe_1048576,baseline,1048576,500,0,0,1048576,1,0.727,747.491,2014.227,38.406,2800.561,3750756352,33555299,0.333333,0.333333,0.000000
vary_setsize_100,piccard,262144,100,128,32,8192,1,0.052,5.536,13.249,0.346,19.267,3902488576,263011,0.379032,0.333333,0.045699
vary_setsize_100,baseline,262144,100,0,0,262144,1,0.224,177.643,438.569,9.073,627.508,3955097600,8389475,0.333333,0.333333,0.000000
vary_setsize_500,piccard,262144,500,128,32,8192,1,0.250,6.537,20.277,0.526,27.577,3955113984,263011,0.395161,0.333333,0.061828
vary_setsize_500,baseline,262144,500,0,0,262144,1,0.213,175.055,424.190,8.665,607.921,3955113984,8389475,0.333333,0.333333,0.000000
vary_setsize_1000,piccard,262144,1000,128,32,8192,1,0.504,6.523,19.179,0.485,26.753,3955163136,263011,0.338710,0.333333,0.005376
vary_setsize_1000,baseline,262144,1000,0,0,262144,1,0.221,178.418,443.083,9.033,631.407,3955163136,8389475,0.333333,0.333333,0.000000
vary_setsize_5000,piccard,262144,5000,128,32,8192,1,2.486,6.617,20.273,0.523,29.903,3955163136,263011,0.395161,0.333333,0.061828
vary_setsize_5000,baseline,262144,5000,0,0,262144,1,0.206,176.062,426.464,8.632,610.189,3955163136,8389475,0.333333,0.333333,0.000000
vary_setsize_10000,piccard,262144,10000,128,32,8192,1,4.804,5.571,15.000,0.385,25.763,3955163136,263011,0.346774,0.333333,0.013441
vary_setsize_10000,baseline,262144,10000,0,0,262144,1,0.198,175.163,423.297,8.733,607.238,3955163136,8389475,0.333333,0.333333,0.000000
vary_setsize_50000,piccard,262144,50000,128,32,8192,1,24.635,5.635,13.310,0.345,44.519,3955163136,263011,0.346774,0.333333,0.013441
vary_setsize_50000,baseline,262144,50000,0,0,262144,1,0.232,179.637,439.083,9.100,627.262,3955163136,8389475,0.333333,0.333333,0.000000
vary_setsize_100000,piccard,262144,100000,128,32,8192,1,50.388,5.669,13.286,0.362,69.928,3955163136,263011,0.467742,0.333333,0.134409
vary_setsize_100000,baseline,262144,100000,0,0,262144,1,0.297,174.408,425.118,8.809,609.580,3955163136,8389475,0.333333,0.333333,0.000000
