
======================================================================
  Table 2: Piccard vs Baseline — Varying Universe Size
======================================================================
    U_set    Method        N  #CTs  Encode  Encrypt  Compute  Decrypt  Total (ms)   CT Size      Error  Speedup
---------------------------------------------------------------------------------------------------------------
     1024   Piccard     8192     1   0.250      5.5     13.8    0.347        19.9  256.8 KB     0.0618         
           Baseline    16384     1   0.064     11.0     24.4    0.605        36.0  512.8 KB  0 (exact)     1.8x
     4096   Piccard     8192     1   0.253      5.6     13.8    0.348        20.0  256.8 KB     0.0618         
           Baseline    16384     1   0.064     11.2     25.1    0.635        37.0  512.8 KB  0 (exact)     1.9x
    16384   Piccard     8192     1   0.251      5.6     13.4    0.341        19.6  256.8 KB     0.0618         
           Baseline    16384     1   0.063     10.9     24.5    0.601        36.0  512.8 KB  0 (exact)     1.8x
    65536   Piccard     8192     1   0.250      5.7     13.7    0.355        20.0  256.8 KB     0.0618         
           Baseline    65536     1   0.094     43.1     96.0      2.3       141.1    2.0 MB  0 (exact)     7.1x
   262144   Piccard     8192     1   0.250      5.9     14.6    0.381        21.2  256.8 KB     0.0618         
           Baseline   262144     1   0.210    176.2    444.3      9.3       631.3    8.0 MB  0 (exact)    29.8x
   524288   Piccard     8192     1   0.245      5.7     16.8    0.396        23.5  256.8 KB     0.0618         
           Baseline   524288     1   0.408    371.3    968.9     22.9      1364.0   16.0 MB  0 (exact)    58.0x
  1048576   Piccard     8192     1   0.250      6.6     20.3    0.517        27.6  256.8 KB     0.0618         
           Baseline  1048576     1   0.727    747.5   2014.2     38.4      2800.6   32.0 MB  0 (exact)   101.5x
