label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_k_64,64,32,8192,18.929,0.024,0.002,5.508,2.949,10.080,0.338,0.000,21905408,263011,0.274194,0.333333,0.059140
vary_k_128,128,32,8192,19.208,0.049,0.002,5.543,3.049,10.230,0.331,0.000,31080448,263011,0.346774,0.333333,0.013441
vary_k_256,256,32,8192,19.344,0.099,0.003,5.610,3.134,10.275,0.332,0.000,38076416,263011,0.346774,0.333333,0.013441
vary_k_512,512,32,16384,35.176,0.191,0.006,10.626,4.913,18.741,0.607,0.000,64258048,525155,0.306452,0.333333,0.026882
vary_k_1024,1024,32,32768,67.994,0.388,0.010,20.957,8.662,36.958,1.090,0.000,119865344,1049443,0.312500,0.333333,0.020833
vary_m_16,128,16,8192,19.480,0.049,0.003,5.585,3.101,10.326,0.352,0.000,119980032,263011,0.333333,0.333333,0.000000
vary_m_32,128,32,8192,19.468,0.050,0.002,5.535,3.095,10.391,0.341,0.000,121765888,263011,0.346774,0.333333,0.013441
vary_m_64,128,64,8192,19.074,0.050,0.002,5.552,3.007,10.084,0.345,0.000,125796352,263011,0.333333,0.333333,0.000000
vary_m_128,128,128,16384,34.706,0.049,0.004,10.538,4.859,18.614,0.579,0.000,146227200,525155,0.330709,0.333333,0.002625
vary_m_256,128,256,32768,67.072,0.049,0.007,20.799,8.701,36.184,1.063,0.000,193347584,1049443,0.325490,0.333333,0.007843
vary_size_1000,128,32,8192,19.233,0.480,0.002,5.467,2.919,10.032,0.343,0.000,193593344,263011,0.346774,0.333333,0.013441
vary_size_10000,128,32,8192,23.855,4.927,0.003,5.497,2.929,10.107,0.344,0.000,194478080,263011,0.387097,0.333333,0.053763
vary_size_50000,128,32,8192,43.024,24.092,0.005,5.551,2.913,10.031,0.340,0.000,198344704,263011,0.346774,0.333333,0.013441
vary_size_100000,128,32,8192,67.719,48.830,0.006,5.589,2.944,10.065,0.340,0.000,203161600,263011,0.443548,0.333333,0.110215
vary_size_500000,128,32,8192,264.387,244.524,0.007,5.714,3.075,10.303,0.341,0.000,257867776,263011,0.338710,0.333333,0.005376
vary_size_1000000,128,32,8192,510.915,490.767,0.009,5.886,3.169,10.314,0.342,0.000,338591744,263011,0.346774,0.333333,0.013441
