
======================================================================
  Table 2: Piccard vs Baseline — Varying Universe Size
======================================================================
    U_set    Method        N  #CTs  Encode  Encrypt  Compute  Decrypt  Total (ms)   CT Size      Error  Speedup
---------------------------------------------------------------------------------------------------------------
     1024   Piccard     8192     1   0.249      5.5     13.1    0.343        19.2  256.8 KB     0.0618         
           Baseline     8192     1   0.034      5.5     13.0    0.340        18.9  256.8 KB  0 (exact)     1.0x
     4096   Piccard     8192     1   0.244      5.5     13.0    0.338        19.1  256.8 KB     0.0618         
           Baseline     8192     1   0.034      5.5     13.0    0.344        18.8  256.8 KB  0 (exact)     1.0x
    16384   Piccard     8192     1   0.245      5.5     12.9    0.335        19.0  256.8 KB     0.0618         
           Baseline    16384     1   0.062     10.6     23.3    0.572        34.4  512.8 KB  0 (exact)     1.8x
    65536   Piccard     8192     1   0.242      5.5     12.9    0.336        19.0  256.8 KB     0.0618         
           Baseline    65536     1   0.092     41.7     91.3      2.2       135.4    2.0 MB  0 (exact)     7.1x
   262144   Piccard     8192     1   0.245      5.5     12.9    0.333        19.0  256.8 KB     0.0618         
           Baseline   262144     1   0.220    178.1    436.0      9.0       623.6    8.0 MB  0 (exact)    32.8x
   524288   Piccard     8192     1   0.246      6.1     17.6    0.436        24.4  256.8 KB     0.0618         
           Baseline   524288     1   0.382    358.3    921.0     21.7      1301.9   16.0 MB  0 (exact)    53.4x
  1048576   Piccard     8192     1   0.245      5.6     15.0    0.373        21.2  256.8 KB     0.0618         
           Baseline  1048576     1   0.728    738.3   1965.1     37.7      2741.4   32.0 MB  0 (exact)   129.0x
