label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
accuracy_0.200000_t21,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t22,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t23,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t24,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t25,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t26,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t27,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t28,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t29,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t30,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t31,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t32,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t33,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t34,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t35,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t36,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t37,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t38,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t39,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t40,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t41,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t42,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t43,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t44,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t45,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t46,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t47,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t48,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t49,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.300000_t0,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t1,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t2,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t3,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t4,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t5,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t6,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t7,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t8,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t9,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t10,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t11,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t12,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t13,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t14,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t15,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t16,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t17,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t18,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t19,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t20,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t21,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t22,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
