scenario,method,universe_size,set_size,k,m,ring_dim,num_cts,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_universe_1024,piccard,1024,500,128,32,8192,1,0.249,5.512,13.106,0.343,19.200,22937600,263011,0.395161,0.333333,0.061828
vary_universe_1024,baseline,1024,500,0,0,8192,1,0.034,5.460,13.021,0.340,18.862,30851072,263011,0.333333,0.333333,0.000000
vary_universe_4096,piccard,4096,500,128,32,8192,1,0.244,5.490,13.044,0.338,19.135,37355520,263011,0.395161,0.333333,0.061828
vary_universe_4096,baseline,4096,500,0,0,8192,1,0.034,5.454,13.012,0.344,18.844,44990464,263011,0.333333,0.333333,0.000000
vary_universe_16384,piccard,16384,500,128,32,8192,1,0.245,5.466,12.936,0.335,19.006,52396032,263011,0.395161,0.333333,0.061828
vary_universe_16384,baseline,16384,500,0,0,16384,1,0.062,10.568,23.256,0.572,34.425,79462400,525155,0.333333,0.333333,0.000000
vary_universe_65536,piccard,65536,500,128,32,8192,1,0.242,5.515,12.942,0.336,19.013,80527360,263011,0.395161,0.333333,0.061828
vary_universe_65536,baseline,65536,500,0,0,65536,1,0.092,41.719,91.287,2.230,135.359,212238336,2098019,0.333333,0.333333,0.000000
vary_universe_262144,piccard,262144,500,128,32,8192,1,0.245,5.466,12.942,0.333,18.991,212271104,263011,0.395161,0.333333,0.061828
vary_universe_262144,baseline,262144,500,0,0,262144,1,0.220,178.141,435.983,9.032,623.577,743325696,8389475,0.333333,0.333333,0.000000
vary_universe_524288,piccard,524288,500,128,32,8192,1,0.246,6.144,17.568,0.436,24.401,743342080,263011,0.395161,0.333333,0.061828
vary_universe_524288,baseline,524288,500,0,0,524288,1,0.382,358.311,920.999,21.670,1301.919,1749549056,16778083,0.333333,0.333333,0.000000
vary_universe_1048576,piccard,1048576,500,128,32,8192,1,0.245,5.574,15.030,0.373,21.250,1749581824,263011,0.395161,0.333333,0.061828
vary_universe_1048576,baseline,1048576,500,0,0,1048576,1,0.728,738.306,1965.113,37.743,2741.370,3698196480,33555299,0.333333,0.333333,0.000000
vary_setsize_100,piccard,262144,100,128,32,8192,1,0.050,5.567,15.023,0.387,21.021,3919216640,263011,0.379032,0.333333,0.045699
vary_setsize_100,baseline,262144,100,0,0,262144,1,0.213,174.034,423.823,8.820,606.907,3948691456,8389475,0.333333,0.333333,0.000000
vary_setsize_500,piccard,262144,500,128,32,8192,1,0.242,5.564,14.983,0.385,21.175,3948707840,263011,0.395161,0.333333,0.061828
vary_setsize_500,baseline,262144,500,0,0,262144,1,0.212,173.775,423.731,8.931,606.505,3948707840,8389475,0.333333,0.333333,0.000000
vary_setsize_1000,piccard,262144,1000,128,32,8192,1,0.484,5.564,15.025,0.385,21.468,3948773376,263011,0.338710,0.333333,0.005376
vary_setsize_1000,baseline,262144,1000,0,0,262144,1,0.212,173.675,424.240,8.863,606.809,3948773376,8389475,0.333333,0.333333,0.000000
vary_setsize_5000,piccard,262144,5000,128,32,8192,1,2.414,5.588,15.116,0.382,23.502,3948773376,263011,0.395161,0.333333,0.061828
vary_setsize_5000,baseline,262144,5000,0,0,262144,1,0.203,173.990,423.623,8.920,606.695,3948773376,8389475,0.333333,0.333333,0.000000
vary_setsize_10000,piccard,262144,10000,128,32,8192,1,4.808,5.564,15.031,0.385,25.779,3948773376,263011,0.346774,0.333333,0.013441
vary_setsize_10000,baseline,262144,10000,0,0,262144,1,0.191,174.016,423.770,8.915,606.975,3948773376,8389475,0.333333,0.333333,0.000000
vary_setsize_50000,piccard,262144,50000,128,32,8192,1,24.079,5.541,13.095,0.339,43.068,3948773376,263011,0.346774,0.333333,0.013441
vary_setsize_50000,baseline,262144,50000,0,0,262144,1,0.228,174.013,418.235,8.632,600.980,3948773376,8389475,0.333333,0.333333,0.000000
vary_setsize_100000,piccard,262144,100000,128,32,8192,1,48.232,5.558,13.074,0.337,67.199,3948773376,263011,0.467742,0.333333,0.134409
vary_setsize_100000,baseline,262144,100000,0,0,262144,1,0.295,173.950,417.261,8.616,600.215,3948773376,8389475,0.333333,0.333333,0.000000
