label,k,m,ring_dim,tau,mult_depth,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_mask_ms,phase_poly_eval_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,threshold_result,threshold_expected,threshold_correct,note
vary_k_16,16,32,16384,8,7,0.007,0.003,14.937,8.561,41.893,0.684,62.462,0.750,129.052,163381248,1311953,0,0,1,
vary_k_32,32,32,16384,16,9,0.012,0.003,16.569,9.988,52.747,0.764,111.452,0.810,192.325,328499200,1574219,0,0,1,
vary_k_64,64,32,32768,32,12,0.025,0.006,40.937,25.096,143.115,1.624,419.802,1.753,627.691,1044594688,4195903,0,0,1,
vary_k_128,128,32,32768,64,15,0.049,0.006,48.549,38.252,252.681,1.997,903.384,2.108,1247.024,2063532032,5244723,0,0,1,
vary_tau_1,64,32,32768,1,12,0.025,0.006,38.740,23.494,135.157,1.532,399.250,1.646,600.668,2425077760,4195903,1,1,1,
vary_tau_16,64,32,32768,16,12,0.025,0.006,39.014,23.843,138.468,1.569,408.198,1.683,612.637,3024912384,4195903,1,1,1,
vary_tau_32,64,32,32768,32,12,0.025,0.006,38.888,28.861,182.040,1.595,439.932,1.622,693.995,3550740480,4195903,0,0,1,
vary_tau_48,64,32,32768,48,12,0.025,0.006,40.912,31.000,193.072,1.867,480.351,1.920,748.657,4008591360,4195903,0,0,1,
vary_tau_64,64,32,32768,64,12,0.025,0.006,40.857,31.090,192.571,1.845,479.048,1.945,748.036,4570955776,4195903,0,0,1,
vs_basic_k16,16,32,16384,8,7,0.006,0.003,14.889,9.091,43.811,0.698,66.405,0.801,135.802,4582309888,1311953,0,0,1,
vs_basic_k32,32,32,16384,16,9,0.012,0.004,16.503,11.931,66.935,0.777,117.888,0.874,214.688,4695474176,1574219,0,0,1,
vs_basic_k64,64,32,32768,32,12,0.025,0.006,38.668,23.678,136.226,1.560,397.454,1.607,599.094,5376147456,4195903,0,0,1,
vs_basic_k128,128,32,32768,64,15,0.049,0.006,48.676,37.756,249.719,2.042,886.336,2.102,1226.298,6404063232,5244723,0,0,1,
