label,k,m,ring_dim,depth,phase_init_ms,phase_insert_ms,phase_delete_ms,phase_signature_ms,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error,ops_insert_per_sec,ops_delete_per_sec
vary_k_64,64,32,8192,5,3.855,0.019,0.027,0.000,0.002,5.515,12.973,0.339,22.745,23560192,263011,0.274194,0.333333,0.059140,5194805.2,3675254.5
vary_k_128,128,32,8192,5,7.548,0.037,0.052,0.000,0.005,5.512,13.031,0.352,26.521,31031296,263011,0.387097,0.333333,0.053763,2721088.4,1920012.3
vary_k_256,256,32,8192,5,14.138,0.068,0.102,0.000,0.005,5.529,13.077,0.346,33.243,39698432,263011,0.362903,0.333333,0.029570,1466985.5,985221.7
vary_k_512,512,32,16384,5,27.978,0.135,0.201,0.001,0.008,10.616,23.067,0.587,62.534,64749568,525155,0.326613,0.333333,0.006720,738007.4,497822.0
vary_k_1024,1024,32,32768,5,56.560,0.280,0.413,0.003,0.012,21.088,45.274,1.084,124.703,121667584,1049443,0.316532,0.333333,0.016801,357674.3,242546.5
vary_depth_3,128,32,8192,3,7.444,0.037,0.052,0.000,0.007,5.513,12.969,0.341,26.390,122028032,263011,0.387097,0.333333,0.053763,2742882.2,1924631.4
vary_depth_5,128,32,8192,5,7.548,0.037,0.052,0.000,0.005,5.495,12.995,0.336,26.467,122109952,263011,0.387097,0.333333,0.053763,2742807.0,1926151.4
vary_depth_10,128,32,8192,10,7.867,0.037,0.064,0.000,0.004,5.505,12.949,0.344,26.768,125485056,263011,0.387097,0.333333,0.053763,2705700.9,1555403.5
vary_depth_20,128,32,8192,20,8.454,0.037,0.078,0.000,0.005,5.462,12.978,0.338,27.399,132792320,263011,0.387097,0.333333,0.053763,2702702.7,1286868.8
vary_size_1000,128,32,8192,5,0.899,0.038,0.053,0.000,0.002,5.500,13.007,0.346,19.835,139296768,263011,0.346774,0.333333,0.013441,2651886.8,1883806.8
vary_size_10000,128,32,8192,5,7.573,0.037,0.052,0.000,0.003,5.527,12.986,0.338,26.586,139755520,263011,0.387097,0.333333,0.053763,2724201.8,1923076.9
vary_size_50000,128,32,8192,5,36.902,0.036,0.052,0.000,0.005,5.567,12.960,0.341,55.857,144277504,263011,0.346774,0.333333,0.013441,2736577.1,1926188.5
vary_size_100000,128,32,8192,5,73.488,0.037,0.052,0.000,0.006,5.560,13.018,0.345,92.523,153272320,263011,0.443548,0.333333,0.110215,2742882.2,1924631.4
vary_size_500000,128,32,8192,5,366.451,0.037,0.052,0.001,0.009,6.086,14.182,0.340,387.242,208011264,263011,0.338710,0.333333,0.005376,2718056.0,1926188.5
vary_size_1000000,128,32,8192,5,732.793,0.037,0.052,0.003,0.011,6.093,14.296,0.345,753.762,288751616,263011,0.346774,0.333333,0.013441,2591747.9,1924594.4
dynamic_vs_basic_k64_dynamic,64,32,8192,5,3.845,0.019,0.027,0.000,0.005,5.483,12.975,0.340,22.720,288751616,263011,0.274194,0.333333,0.059140,5206164.1,3669724.8
dynamic_vs_basic_k64_basic,64,32,8192,0,2.380,0.000,0.000,0.000,0.002,5.469,12.973,0.330,21.154,288751616,263011,0.274194,0.333333,0.059140,0.0,0.0
dynamic_vs_basic_k128_dynamic,128,32,8192,5,7.564,0.037,0.052,0.000,0.003,5.481,13.008,0.338,26.515,288751616,263011,0.387097,0.333333,0.053763,2739726.0,1921561.8
dynamic_vs_basic_k128_basic,128,32,8192,0,4.810,0.000,0.000,0.000,0.002,5.546,12.924,0.344,23.627,288751616,263011,0.387097,0.333333,0.053763,0.0,0.0
dynamic_vs_basic_k256_dynamic,256,32,8192,5,14.111,0.068,0.102,0.000,0.005,5.556,12.956,0.344,33.152,288751616,263011,0.362903,0.333333,0.029570,1463400.4,984009.8
dynamic_vs_basic_k256_basic,256,32,8192,0,9.556,0.000,0.000,0.000,0.003,5.610,12.999,0.338,28.507,288751616,263011,0.362903,0.333333,0.029570,0.0,0.0
dynamic_vs_basic_k512_dynamic,512,32,16384,5,27.832,0.135,0.201,0.001,0.008,10.545,23.136,0.577,62.474,295895040,525155,0.326613,0.333333,0.006720,741201.9,498236.2
dynamic_vs_basic_k512_basic,512,32,16384,0,19.941,0.000,0.000,0.000,0.007,10.856,25.717,0.639,57.160,295895040,525155,0.326613,0.333333,0.006720,0.0,0.0
dynamic_vs_basic_k1024_dynamic,1024,32,32768,5,56.489,0.271,0.397,0.005,0.013,20.937,44.682,1.083,123.878,344424448,1049443,0.316532,0.333333,0.016801,368663.6,252100.6
dynamic_vs_basic_k1024_basic,1024,32,32768,0,39.202,0.000,0.000,0.000,0.015,21.095,44.670,1.080,106.062,344424448,1049443,0.316532,0.333333,0.016801,0.0,0.0
