
======================================================================
  Table 2: Piccard vs Baseline — Varying Universe Size
======================================================================
    U_set    Method        N  #CTs  Encode  Encrypt  Compute  Decrypt  Total (ms)   CT Size      Error  Speedup
---------------------------------------------------------------------------------------------------------------
     1024   Piccard     8192     1   0.244      5.5     12.8    0.334        18.9  256.8 KB     0.0618         
           Baseline    16384     1   0.062     10.6     23.2    0.589        34.4  512.8 KB  0 (exact)     1.8x
     4096   Piccard     8192     1   0.243      5.5     12.9    0.329        19.0  256.8 KB     0.0618         
           Baseline    16384     1   0.062     10.5     23.2    0.589        34.3  512.8 KB  0 (exact)     1.8x
    16384   Piccard     8192     1   0.247      5.5     13.0    0.332        19.0  256.8 KB     0.0618         
           Baseline    16384     1   0.018     10.5     23.2    0.587        34.4  512.8 KB  0 (exact)     1.8x
    65536   Piccard     8192     1   0.243      5.5     12.9    0.335        19.0  256.8 KB     0.0618         
           Baseline    65536     1   0.092     41.8     91.0      2.2       135.2    2.0 MB  0 (exact)     7.1x
   262144   Piccard     8192     1   0.242      5.5     12.9    0.339        19.0  256.8 KB     0.0618         
           Baseline   262144     1   0.213    174.2    423.0      8.9       606.8    8.0 MB  0 (exact)    32.0x
   524288   Piccard     8192     1   0.245      5.6     15.6    0.388        21.9  256.8 KB     0.0618         
           Baseline   524288     1   0.384    356.7    920.6     21.6      1299.0   16.0 MB  0 (exact)    59.3x
  1048576   Piccard     8192     1   0.242      5.6     15.1    0.377        21.3  256.8 KB     0.0618         
           Baseline  1048576     1   0.735    736.9   1958.9     37.7      2735.2   32.0 MB  0 (exact)   128.3x
