label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_k_64,64,32,8192,18.883,0.025,0.002,5.464,2.916,10.113,0.336,0.000,22298624,263011,0.274194,0.333333,0.059140
vary_k_128,128,32,8192,19.024,0.050,0.003,5.510,2.944,10.201,0.339,0.000,29556736,263011,0.346774,0.333333,0.013441
vary_k_256,256,32,8192,18.879,0.096,0.003,5.498,2.909,10.055,0.329,0.000,37371904,263011,0.346774,0.333333,0.013441
vary_k_512,512,32,16384,35.134,0.194,0.005,10.653,4.876,18.678,0.595,0.000,63864832,525155,0.306452,0.333333,0.026882
vary_k_1024,1024,32,32768,67.042,0.382,0.010,20.882,8.483,36.157,1.074,0.000,120373248,1049443,0.312500,0.333333,0.020833
vary_m_16,128,16,8192,18.845,0.048,0.002,5.524,2.904,10.067,0.337,0.000,120832000,263011,0.333333,0.333333,0.000000
vary_m_32,128,32,8192,18.845,0.048,0.002,5.514,2.894,10.058,0.339,0.000,120963072,263011,0.346774,0.333333,0.013441
vary_m_64,128,64,8192,18.850,0.048,0.002,5.479,2.919,10.052,0.332,0.000,124715008,263011,0.333333,0.333333,0.000000
vary_m_128,128,128,16384,34.481,0.048,0.004,10.529,4.842,18.540,0.565,0.000,146374656,525155,0.330709,0.333333,0.002625
vary_m_256,128,256,32768,66.688,0.049,0.006,20.836,8.502,36.173,1.076,0.000,189693952,1049443,0.325490,0.333333,0.007843
vary_size_1000,128,32,8192,19.213,0.480,0.004,5.487,2.893,10.037,0.341,0.000,189775872,263011,0.346774,0.333333,0.013441
vary_size_10000,128,32,8192,23.598,4.821,0.002,5.493,2.877,10.013,0.343,0.000,190709760,263011,0.387097,0.333333,0.053763
vary_size_50000,128,32,8192,43.010,24.081,0.003,5.577,2.947,10.056,0.336,0.000,194576384,263011,0.346774,0.333333,0.013441
vary_size_100000,128,32,8192,69.069,50.157,0.004,5.594,2.918,10.120,0.338,0.000,199442432,263011,0.443548,0.333333,0.110215
vary_size_500000,128,32,8192,262.220,241.555,0.009,6.096,3.534,10.519,0.346,0.000,254164992,263011,0.338710,0.333333,0.005376
vary_size_1000000,128,32,8192,506.080,484.999,0.012,6.185,3.572,10.625,0.351,0.000,334905344,263011,0.346774,0.333333,0.013441
