label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_k_64,64,32,8192,18.805,0.025,0.002,5.483,2.926,10.024,0.336,0.000,22462464,263011,0.274194,0.333333,0.059140
vary_k_128,128,32,8192,18.887,0.048,0.002,5.495,2.911,10.087,0.329,0.000,30064640,263011,0.346774,0.333333,0.013441
vary_k_256,256,32,8192,20.051,0.101,0.003,5.652,3.130,10.717,0.362,0.000,38240256,263011,0.346774,0.333333,0.013441
vary_k_512,512,32,16384,34.489,0.190,0.005,10.516,4.802,18.372,0.586,0.000,62799872,525155,0.306452,0.333333,0.026882
vary_k_1024,1024,32,32768,67.179,0.380,0.009,20.844,8.534,36.272,1.072,0.000,119668736,1049443,0.312500,0.333333,0.020833
vary_m_16,128,16,8192,19.510,0.049,0.003,5.545,3.050,10.411,0.345,0.000,119767040,263011,0.333333,0.333333,0.000000
vary_m_32,128,32,8192,19.262,0.050,0.003,5.512,3.051,10.262,0.352,0.000,119848960,263011,0.346774,0.333333,0.013441
vary_m_64,128,64,8192,18.913,0.049,0.002,5.506,2.925,10.141,0.341,0.000,122683392,263011,0.333333,0.333333,0.000000
vary_m_128,128,128,16384,34.189,0.048,0.004,10.498,4.813,18.280,0.572,0.000,145883136,525155,0.330709,0.333333,0.002625
vary_m_256,128,256,32768,66.721,0.048,0.006,20.958,8.471,36.133,1.067,0.000,192446464,1049443,0.325490,0.333333,0.007843
vary_size_1000,128,32,8192,19.348,0.479,0.005,5.485,2.920,10.081,0.340,0.000,192659456,263011,0.346774,0.333333,0.013441
vary_size_10000,128,32,8192,23.577,4.804,0.002,5.489,2.917,10.026,0.339,0.000,193527808,263011,0.387097,0.333333,0.053763
vary_size_50000,128,32,8192,42.934,24.080,0.002,5.544,2.897,10.075,0.329,0.000,197394432,263011,0.346774,0.333333,0.013441
vary_size_100000,128,32,8192,67.225,48.236,0.002,5.556,2.906,10.146,0.331,0.000,202244096,263011,0.443548,0.333333,0.110215
vary_size_500000,128,32,8192,262.145,241.592,0.006,6.047,3.431,10.440,0.348,0.000,256950272,263011,0.338710,0.333333,0.005376
vary_size_1000000,128,32,8192,503.731,483.100,0.007,5.753,3.087,10.324,0.347,0.000,337690624,263011,0.346774,0.333333,0.013441
