scenario,method,universe_size,set_size,k,m,ring_dim,num_cts,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_universe_1024,piccard,1024,500,128,32,8192,1,0.244,5.490,12.849,0.334,18.943,22118400,263011,0.395161,0.333333,0.061828
vary_universe_1024,baseline,1024,500,0,0,16384,1,0.062,10.581,23.221,0.589,34.401,48939008,525155,0.333333,0.333333,0.000000
vary_universe_4096,piccard,4096,500,128,32,8192,1,0.243,5.450,12.925,0.329,18.972,50003968,263011,0.395161,0.333333,0.061828
vary_universe_4096,baseline,4096,500,0,0,16384,1,0.062,10.513,23.214,0.589,34.324,72040448,525155,0.333333,0.333333,0.000000
vary_universe_16384,piccard,16384,500,128,32,8192,1,0.247,5.492,12.980,0.332,19.041,74301440,263011,0.395161,0.333333,0.061828
vary_universe_16384,baseline,16384,500,0,0,16384,1,0.018,10.542,23.239,0.587,34.380,95797248,525155,0.333333,0.333333,0.000000
vary_universe_65536,piccard,65536,500,128,32,8192,1,0.243,5.461,12.947,0.335,18.956,97583104,263011,0.395161,0.333333,0.061828
vary_universe_65536,baseline,65536,500,0,0,65536,1,0.092,41.834,90.973,2.238,135.250,224116736,2098019,0.333333,0.333333,0.000000
vary_universe_262144,piccard,262144,500,128,32,8192,1,0.242,5.515,12.900,0.339,18.968,224116736,263011,0.395161,0.333333,0.061828
vary_universe_262144,baseline,262144,500,0,0,262144,1,0.213,174.239,423.039,8.940,606.824,765198336,8389475,0.333333,0.333333,0.000000
vary_universe_524288,piccard,524288,500,128,32,8192,1,0.245,5.646,15.561,0.388,21.892,765739008,263011,0.395161,0.333333,0.061828
vary_universe_524288,baseline,524288,500,0,0,524288,1,0.384,356.705,920.623,21.567,1298.991,1771945984,16778083,0.333333,0.333333,0.000000
vary_universe_1048576,piccard,1048576,500,128,32,8192,1,0.242,5.604,15.086,0.377,21.317,1772503040,263011,0.395161,0.333333,0.061828
vary_universe_1048576,baseline,1048576,500,0,0,1048576,1,0.735,736.925,1958.912,37.722,2735.227,3704389632,33555299,0.333333,0.333333,0.000000
vary_setsize_100,piccard,262144,100,128,32,8192,1,0.050,5.584,15.080,0.372,21.087,3908730880,263011,0.379032,0.333333,0.045699
vary_setsize_100,baseline,262144,100,0,0,262144,1,0.215,173.084,417.371,8.599,599.629,3952951296,8389475,0.333333,0.333333,0.000000
vary_setsize_500,piccard,262144,500,128,32,8192,1,0.242,5.578,15.180,0.387,21.369,3952951296,263011,0.395161,0.333333,0.061828
vary_setsize_500,baseline,262144,500,0,0,262144,1,0.209,173.458,416.976,8.586,599.301,3952951296,8389475,0.333333,0.333333,0.000000
vary_setsize_1000,piccard,262144,1000,128,32,8192,1,0.482,5.577,15.080,0.373,21.513,3953016832,263011,0.338710,0.333333,0.005376
vary_setsize_1000,baseline,262144,1000,0,0,262144,1,0.211,173.103,416.808,8.595,598.596,3953016832,8389475,0.333333,0.333333,0.000000
vary_setsize_5000,piccard,262144,5000,128,32,8192,1,2.402,5.598,15.123,0.388,23.514,3953016832,263011,0.395161,0.333333,0.061828
vary_setsize_5000,baseline,262144,5000,0,0,262144,1,0.202,173.143,416.799,8.599,598.547,3953016832,8389475,0.333333,0.333333,0.000000
vary_setsize_10000,piccard,262144,10000,128,32,8192,1,4.812,5.555,15.033,0.378,25.785,3953016832,263011,0.346774,0.333333,0.013441
vary_setsize_10000,baseline,262144,10000,0,0,262144,1,0.192,173.618,417.092,8.627,599.449,3953016832,8389475,0.333333,0.333333,0.000000
vary_setsize_50000,piccard,262144,50000,128,32,8192,1,24.081,5.574,13.185,0.346,43.151,3953016832,263011,0.346774,0.333333,0.013441
vary_setsize_50000,baseline,262144,50000,0,0,262144,1,0.229,173.066,413.256,8.635,595.342,3953016832,8389475,0.333333,0.333333,0.000000
vary_setsize_100000,piccard,262144,100000,128,32,8192,1,48.195,5.562,13.135,0.340,67.220,3953016832,263011,0.467742,0.333333,0.134409
vary_setsize_100000,baseline,262144,100000,0,0,262144,1,0.297,173.736,416.667,8.605,599.241,3953016832,8389475,0.333333,0.333333,0.000000
