label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_k_64,64,32,8192,18.749,0.024,0.002,5.441,2.934,10.010,0.331,0.000,22822912,263011,0.274194,0.333333,0.059140
vary_k_128,128,32,8192,18.837,0.048,0.002,5.493,2.968,9.985,0.338,0.000,29720576,263011,0.346774,0.333333,0.013441
vary_k_256,256,32,8192,18.906,0.096,0.003,5.509,2.919,10.029,0.342,0.000,37421056,263011,0.346774,0.333333,0.013441
vary_k_512,512,32,16384,34.591,0.190,0.005,10.533,4.842,18.481,0.582,0.000,61997056,525155,0.306452,0.333333,0.026882
vary_m_16,128,16,8192,18.769,0.048,0.003,5.455,2.920,9.980,0.333,0.000,64520192,263011,0.333333,0.333333,0.000000
vary_m_32,128,32,8192,18.723,0.048,0.002,5.470,2.887,9.983,0.333,0.000,71188480,263011,0.346774,0.333333,0.013441
vary_m_64,128,64,8192,18.825,0.048,0.002,5.505,2.903,10.039,0.341,0.000,78053376,263011,0.333333,0.333333,0.000000
vary_m_128,128,128,16384,34.550,0.048,0.003,10.549,4.867,18.489,0.589,0.000,101810176,525155,0.330709,0.333333,0.002625
vary_size_100,128,32,8192,18.809,0.048,0.003,5.467,2.924,10.025,0.344,0.000,103546880,263011,0.346774,0.333333,0.013441
vary_size_1000,128,32,8192,19.227,0.480,0.002,5.450,2.898,10.045,0.336,0.000,103628800,263011,0.346774,0.333333,0.013441
vary_size_10000,128,32,8192,23.621,4.805,0.002,5.507,2.930,10.022,0.342,0.000,104579072,263011,0.387097,0.333333,0.053763
