scenario,method,cryptographic_profile,nominal_security_bits,security_match,comparison_eligible,comparison_scope,primitive,protocol_model,output_semantics,assurance_scope,security_basis,cost_scope,precomputation_mode,secure_division_included,measurement_kind,evidence_arm,universe_size,set_size,k,m,ring_dim,num_cts,mult_depth,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,comm_bytes,jaccard_computed,jaccard_expected,jaccard_error,jaccard_rel_error,trials,total_ms_sd,total_ms_median,phase_encode_ms_sd,phase_encode_ms_median,phase_encrypt_ms_sd,phase_encrypt_ms_median,phase_compute_ms_sd,phase_compute_ms_median,phase_decrypt_ms_sd,phase_decrypt_ms_median,rel_error_eligible_n,hash_randomness,hash_seed,hash_root_seed,accuracy_trials,phase_flood_ms,phase_flood_ms_sd,phase_flood_ms_median,transcript_stat_bits,max_queries,query_stat_bits,coefficient_stat_bits,flood_margin_bits,eval_noise_bits,flood_noise_bits,scaling_mod_size,sanitizer_model,sanitizer_assurance,measurement_status,extrapolation_alpha,extrapolation_beta,extrapolation_residual,extrapolation_source,omp_threads,estimator_model,profile_id,run_class,target_security_bits,target_jaccard,realized_intersection,realized_union,realized_jaccard,actual_ring_dim,log_q_bits,plaintext_modulus,num_limbs,openfhe_version
vary_universe_64,piccard,live-BFV-TOY,0,true,false,end-to-end-estimator,bfv-onehot-minhash,piccard-two-owner-outsourced,bias-corrected-jaccard-estimate,live-bfv+empirical-sanitizer-poc,openfhe-hesea-standard-live-context,full-query-excluding-one-time-setup,crs-and-keys-only,false,fhe-timing,timing,64,16,16,16,1024,1,1,0.141,1.152,4.696,0.099,6.822,20103168,66639,199917,0.000000,0.000000,0.000000,0.000000,1,-1.000,6.822,-1.000,0.141,-1.000,1.152,-1.000,4.696,-1.000,0.099,0,fixed,42,42,0,0.734,-1.000,0.734,40,1048576,60,70,8,56,134,40,phase-smudging-enc0-poc-v1,empirical-phase-statistical+ciphertext-computational,measured,,,,,2,sha256-random-ranking-poc-v1,toy-smoke,smoke,0,0.500000,11,21,0.523810,1024,159.999999723221,12289,4,1.5.0
vary_universe_64,piccard_sqrt,live-BFV-TOY,0,true,false,end-to-end-estimator,bfv-sqrt-minhash,piccard-sqrt-two-owner-outsourced,bias-corrected-jaccard-estimate,live-bfv+empirical-sanitizer-poc,openfhe-hesea-standard-live-context,full-query-excluding-one-time-setup,crs-and-keys-only,false,fhe-timing,timing,64,16,16,16,1024,1,3,0.100,1.307,7.414,0.117,9.898,20611072,83145,249435,0.000000,0.000000,0.000000,0.000000,1,-1.000,9.898,-1.000,0.100,-1.000,1.307,-1.000,7.414,-1.000,0.117,0,fixed,42,42,0,0.960,-1.000,0.960,40,1048576,60,70,8,92,170,40,phase-smudging-enc0-poc-v1,empirical-phase-statistical+ciphertext-computational,measured,,,,,2,sha256-random-ranking-poc-v1,toy-smoke,smoke,0,0.500000,11,21,0.523810,1024,199.999999621107,12289,5,1.5.0
vary_universe_64,baseline,live-BFV-TOY,0,true,false,diagnostic-only,bfv-indicator-comparison,local-universe-sized-BFV-comparator,intersection-indicator-vector,live-bfv-primitive-only,openfhe-hesea-standard-live-context,primitive-only,not-applicable,false,diagnostic,timing,64,16,,,1024,1,0,0.001,0.770,2.284,0.065,3.121,20627456,33635,100905,0.000000,0.000000,0.000000,0.000000,1,-1.000,3.121,-1.000,0.001,-1.000,0.770,-1.000,2.284,-1.000,0.065,0,,0,0,0,0.000,-1.000,0.000,,,,,,,,,not-applicable,not-applicable,measured,,,,,2,not-applicable,legacy,legacy,0,0.500000,11,21,0.523810,1024,120.000000000000,12289,2,1.5.0
vary_universe_64,piccard,live-BFV-TOY,0,true,false,end-to-end-estimator,bfv-onehot-minhash,piccard-two-owner-outsourced,bias-corrected-jaccard-estimate,live-bfv+empirical-sanitizer-poc,openfhe-hesea-standard-live-context,full-query-excluding-one-time-setup,crs-and-keys-only,false,fhe-accuracy,accuracy,64,16,16,16,1024,1,1,0.000,0.000,0.000,0.000,0.000,0,0,0,0.666667,0.523810,0.142857,0.272727,0,-1.000,0.000,-1.000,0.000,-1.000,0.000,-1.000,0.000,-1.000,0.000,1,resampled,42,7,1,0.000,-1.000,0.000,40,1048576,60,70,8,56,134,40,phase-smudging-enc0-poc-v1,empirical-phase-statistical+ciphertext-computational,measured,,,,,2,sha256-random-ranking-poc-v1,toy-smoke,smoke,0,0.500000,11,21,0.523810,1024,159.999999723221,12289,4,1.5.0
vary_universe_64,piccard_sqrt,live-BFV-TOY,0,true,false,end-to-end-estimator,bfv-sqrt-minhash,piccard-sqrt-two-owner-outsourced,bias-corrected-jaccard-estimate,live-bfv+empirical-sanitizer-poc,openfhe-hesea-standard-live-context,full-query-excluding-one-time-setup,crs-and-keys-only,false,fhe-accuracy,accuracy,64,16,16,16,1024,1,3,0.000,0.000,0.000,0.000,0.000,0,0,0,0.666667,0.523810,0.142857,0.272727,0,-1.000,0.000,-1.000,0.000,-1.000,0.000,-1.000,0.000,-1.000,0.000,1,resampled,42,7,1,0.000,-1.000,0.000,40,1048576,60,70,8,92,170,40,phase-smudging-enc0-poc-v1,empirical-phase-statistical+ciphertext-computational,measured,,,,,2,sha256-random-ranking-poc-v1,toy-smoke,smoke,0,0.500000,11,21,0.523810,1024,199.999999621107,12289,5,1.5.0
vary_universe_64,baseline,live-BFV-TOY,0,true,false,diagnostic-only,bfv-indicator-comparison,local-universe-sized-BFV-comparator,intersection-indicator-vector,live-bfv-primitive-only,openfhe-hesea-standard-live-context,primitive-only,not-applicable,false,diagnostic,accuracy,64,16,,,1024,1,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.523810,0.523810,0.000000,0.000000,0,-1.000,0.000,-1.000,0.000,-1.000,0.000,-1.000,0.000,-1.000,0.000,1,,0,0,1,0.000,-1.000,0.000,,,,,,,,,not-applicable,not-applicable,measured,,,,,2,not-applicable,legacy,legacy,0,0.500000,11,21,0.523810,1024,120.000000000000,12289,2,1.5.0
