circuit,security,k,m,ring_dim,ring_dim_requested,ring_dim_baseline,ring_dim_grew,mult_depth,natural_mult_depth,scaling_mod_size,num_limbs,plaintext_mod,log_q,log_delta,pattern,eval_noise_bits,headroom_bits,saturated,decrypt_ok,decision_ok,expected,got,ct_bytes,status
onehot,TOY,16,64,1024,1024,1024,0,2,1,54,2,12289,108.0,94.4,random,68.75,24.67,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,2,1,58,2,12289,116.0,102.4,all_match,71.89,29.53,0,1,1,16,16,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,2,1,58,2,12289,116.0,102.4,no_match,72.61,28.81,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,2,1,58,2,12289,116.0,102.4,random,72.34,29.07,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,2,1,60,2,12289,120.0,106.4,all_match,74.14,31.27,0,1,1,16,16,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,2,1,60,2,12289,120.0,106.4,no_match,75.39,30.02,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,2,1,60,2,12289,120.0,106.4,random,73.92,31.50,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,40,4,12289,160.0,146.4,all_match,55.37,90.04,0,1,1,16,16,66943,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,40,4,12289,160.0,146.4,no_match,54.41,91.00,0,1,1,0,0,66943,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,40,4,12289,160.0,146.4,random,54.70,90.72,0,1,1,0,0,66943,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,45,3,12289,135.0,121.4,all_match,58.71,61.70,0,1,1,16,16,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,45,3,12289,135.0,121.4,no_match,59.72,60.69,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,45,3,12289,135.0,121.4,random,59.08,61.34,0,1,1,1,1,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,50,3,12289,150.0,136.4,all_match,64.93,70.48,0,1,1,16,16,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,50,3,12289,150.0,136.4,no_match,64.47,70.94,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,50,3,12289,150.0,136.4,random,64.89,70.52,0,1,1,1,1,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,52,3,12289,156.0,142.4,all_match,67.37,74.05,0,1,1,16,16,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,52,3,12289,156.0,142.4,no_match,65.24,76.18,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,52,3,12289,156.0,142.4,random,67.16,74.26,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,54,3,12289,162.0,148.4,all_match,68.46,78.96,0,1,1,16,16,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,54,3,12289,162.0,148.4,no_match,69.02,78.39,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,54,3,12289,162.0,148.4,random,68.35,79.07,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,58,3,12289,174.0,160.4,all_match,71.77,87.65,0,1,1,16,16,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,58,3,12289,174.0,160.4,no_match,73.44,85.97,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,58,3,12289,174.0,160.4,random,72.21,87.21,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,60,3,12289,180.0,166.4,all_match,74.74,90.68,0,1,1,16,16,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,60,3,12289,180.0,166.4,no_match,74.53,90.89,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,3,1,60,3,12289,180.0,166.4,random,74.05,91.37,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,40,4,12289,160.0,146.4,all_match,55.17,90.25,0,1,1,16,16,66943,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,40,4,12289,160.0,146.4,no_match,55.38,90.03,0,1,1,0,0,66943,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,40,4,12289,160.0,146.4,random,54.84,90.58,0,1,1,0,0,66943,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,45,4,12289,180.0,166.4,all_match,59.88,105.54,0,1,1,16,16,66943,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,45,4,12289,180.0,166.4,no_match,60.24,105.18,0,1,1,0,0,66943,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,45,4,12289,180.0,166.4,random,60.05,105.36,0,1,1,1,1,66943,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,50,4,12289,200.0,186.4,all_match,66.13,119.28,0,1,1,16,16,66959,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,50,4,12289,200.0,186.4,no_match,65.23,120.18,0,1,1,0,0,66959,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,50,4,12289,200.0,186.4,random,64.55,120.87,0,1,1,1,1,66959,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,52,4,12289,208.0,194.4,all_match,67.22,126.19,0,1,1,16,16,66959,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,52,4,12289,208.0,194.4,no_match,66.70,126.71,0,1,1,0,0,66959,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,52,4,12289,208.0,194.4,random,67.49,125.93,0,1,1,0,0,66959,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,54,4,12289,216.0,202.4,all_match,68.40,133.01,0,1,1,16,16,66959,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,54,4,12289,216.0,202.4,no_match,69.39,132.02,0,1,1,0,0,66959,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,54,4,12289,216.0,202.4,random,69.24,132.18,0,1,1,0,0,66959,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,58,3,12289,174.0,160.4,all_match,72.46,86.95,0,1,1,16,16,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,58,3,12289,174.0,160.4,no_match,73.76,85.65,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,58,3,12289,174.0,160.4,random,72.11,87.30,0,1,1,1,1,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,60,3,12289,180.0,166.4,all_match,75.51,89.90,0,1,1,16,16,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,60,3,12289,180.0,166.4,no_match,74.51,90.90,0,1,1,0,0,50397,ok
onehot,TOY,16,64,1024,1024,1024,0,4,1,60,3,12289,180.0,166.4,random,74.87,90.55,0,1,1,0,0,50397,ok
onehot,TOY,32,64,2048,2048,2048,0,1,1,0,2,12289,120.0,106.4,all_match,76.22,29.20,0,1,1,32,32,66603,ok
onehot,TOY,32,64,2048,2048,2048,0,1,1,0,2,12289,120.0,106.4,no_match,75.82,29.59,0,1,1,0,0,66603,ok
onehot,TOY,32,64,2048,2048,2048,0,1,1,0,2,12289,120.0,106.4,random,75.49,29.92,0,1,1,0,0,66603,ok
onehot,TOY,32,64,2048,2048,2048,0,1,1,40,2,12289,80.0,66.4,all_match,55.82,9.59,0,1,1,32,32,66603,ok
onehot,TOY,32,64,2048,2048,2048,0,1,1,40,2,12289,80.0,66.4,no_match,55.60,9.82,0,1,1,0,0,66603,ok
onehot,TOY,32,64,2048,2048,2048,0,1,1,40,2,12289,80.0,66.4,random,55.98,9.44,0,1,1,1,1,66603,ok
onehot,TOY,32,64,2048,2048,2048,0,1,1,45,2,12289,90.0,76.4,all_match,60.84,14.57,0,1,1,32,32,66603,ok
onehot,TOY,32,64,2048,2048,2048,0,1,1,45,2,12289,90.0,76.4,no_match,61.40,14.01,0,1,1,0,0,66603,ok
