circuit,security,k,m,ring_dim,ring_dim_requested,ring_dim_baseline,ring_dim_grew,mult_depth,natural_mult_depth,scaling_mod_size,num_limbs,plaintext_mod,log_q,log_delta,pattern,eval_noise_bits,headroom_bits,saturated,decrypt_ok,decision_ok,expected,got,ct_bytes,status
onehot,STD128,256,256,65536,65536,65536,0,2,1,54,3,786433,162.0,142.4,no_match,77.76,63.65,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,54,3,786433,162.0,142.4,random,78.37,63.04,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,58,3,786433,174.0,154.4,all_match,82.16,71.26,0,1,1,256,256,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,58,3,786433,174.0,154.4,no_match,82.16,71.25,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,58,3,786433,174.0,154.4,random,82.12,71.29,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,60,3,786433,180.0,160.4,all_match,83.71,75.71,0,1,1,256,256,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,60,3,786433,180.0,160.4,no_match,83.96,75.45,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,60,3,786433,180.0,160.4,random,82.45,76.97,0,1,1,3,3,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,40,4,786433,160.0,140.4,all_match,64.32,75.09,0,1,1,256,256,4195711,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,40,4,786433,160.0,140.4,no_match,64.62,74.80,0,1,1,0,0,4195711,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,40,4,786433,160.0,140.4,random,64.37,75.05,0,1,1,1,1,4195711,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,45,4,786433,180.0,160.4,all_match,68.88,90.53,0,1,1,256,256,4195711,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,45,4,786433,180.0,160.4,no_match,69.63,89.78,0,1,1,0,0,4195711,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,45,4,786433,180.0,160.4,random,68.89,90.52,0,1,1,1,1,4195711,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,50,4,786433,200.0,180.4,all_match,73.38,106.04,0,1,1,256,256,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,50,4,786433,200.0,180.4,no_match,73.74,105.67,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,50,4,786433,200.0,180.4,random,74.69,104.73,0,1,1,1,1,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,52,4,786433,208.0,188.4,all_match,76.08,111.33,0,1,1,256,256,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,52,4,786433,208.0,188.4,no_match,76.08,111.34,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,52,4,786433,208.0,188.4,random,76.19,111.22,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,54,4,786433,216.0,196.4,all_match,77.37,118.05,0,1,1,256,256,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,54,4,786433,216.0,196.4,no_match,78.37,117.04,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,54,4,786433,216.0,196.4,random,77.77,117.64,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,58,3,786433,174.0,154.4,all_match,81.71,71.70,0,1,1,256,256,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,58,3,786433,174.0,154.4,no_match,82.51,70.91,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,58,3,786433,174.0,154.4,random,82.03,71.39,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,60,3,786433,180.0,160.4,all_match,83.68,75.73,0,1,1,256,256,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,60,3,786433,180.0,160.4,no_match,83.92,75.50,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,3,1,60,3,786433,180.0,160.4,random,83.61,75.81,0,1,1,1,1,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,40,5,786433,200.0,180.4,all_match,63.95,115.47,0,1,1,256,256,5244465,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,40,5,786433,200.0,180.4,no_match,63.50,115.92,0,1,1,0,0,5244465,ok
