scenario,method,universe_size,set_size,k,m,ring_dim,num_cts,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
accuracy_0.000000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.100000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.096774,0.052632,0.044143
accuracy_0.100000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.052632,0.052632,0.000000
accuracy_0.100000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.096774,0.052632,0.044143
accuracy_0.100000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.052632,0.052632,0.000000
accuracy_0.100000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.096774,0.052632,0.044143
accuracy_0.100000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.052632,0.052632,0.000000
accuracy_0.100000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.096774,0.052632,0.044143
accuracy_0.100000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.052632,0.052632,0.000000
accuracy_0.100000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.096774,0.052632,0.044143
accuracy_0.100000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.052632,0.052632,0.000000
accuracy_0.100000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.096774,0.052632,0.044143
accuracy_0.100000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.052632,0.052632,0.000000
accuracy_0.100000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.096774,0.052632,0.044143
accuracy_0.100000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.052632,0.052632,0.000000
accuracy_0.100000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.096774,0.052632,0.044143
accuracy_0.100000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.052632,0.052632,0.000000
accuracy_0.100000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.096774,0.052632,0.044143
accuracy_0.100000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.052632,0.052632,0.000000
accuracy_0.100000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.096774,0.052632,0.044143
accuracy_0.100000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.052632,0.052632,0.000000
accuracy_0.250000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.177419,0.142857,0.034562
accuracy_0.250000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.142857,0.142857,0.000000
accuracy_0.250000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.177419,0.142857,0.034562
accuracy_0.250000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.142857,0.142857,0.000000
accuracy_0.250000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.177419,0.142857,0.034562
accuracy_0.250000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.142857,0.142857,0.000000
accuracy_0.250000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.177419,0.142857,0.034562
accuracy_0.250000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.142857,0.142857,0.000000
accuracy_0.250000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.177419,0.142857,0.034562
accuracy_0.250000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.142857,0.142857,0.000000
accuracy_0.250000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.177419,0.142857,0.034562
accuracy_0.250000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.142857,0.142857,0.000000
accuracy_0.250000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.177419,0.142857,0.034562
accuracy_0.250000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.142857,0.142857,0.000000
accuracy_0.250000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.177419,0.142857,0.034562
accuracy_0.250000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.142857,0.142857,0.000000
accuracy_0.250000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.177419,0.142857,0.034562
accuracy_0.250000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.142857,0.142857,0.000000
accuracy_0.250000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.177419,0.142857,0.034562
accuracy_0.250000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.142857,0.142857,0.000000
accuracy_0.500000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.338710,0.333333,0.005376
accuracy_0.500000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.333333,0.333333,0.000000
accuracy_0.500000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.338710,0.333333,0.005376
accuracy_0.500000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.333333,0.333333,0.000000
accuracy_0.500000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.338710,0.333333,0.005376
accuracy_0.500000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.333333,0.333333,0.000000
accuracy_0.500000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.338710,0.333333,0.005376
accuracy_0.500000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.333333,0.333333,0.000000
accuracy_0.500000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.338710,0.333333,0.005376
accuracy_0.500000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.333333,0.333333,0.000000
accuracy_0.500000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.338710,0.333333,0.005376
accuracy_0.500000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.333333,0.333333,0.000000
accuracy_0.500000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.338710,0.333333,0.005376
accuracy_0.500000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.333333,0.333333,0.000000
accuracy_0.500000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.338710,0.333333,0.005376
accuracy_0.500000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.333333,0.333333,0.000000
accuracy_0.500000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.338710,0.333333,0.005376
accuracy_0.500000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.333333,0.333333,0.000000
accuracy_0.500000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.338710,0.333333,0.005376
accuracy_0.500000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.333333,0.333333,0.000000
accuracy_0.750000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.580645,0.600000,0.019355
accuracy_0.750000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.600000,0.600000,0.000000
accuracy_0.750000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.580645,0.600000,0.019355
accuracy_0.750000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.600000,0.600000,0.000000
accuracy_0.750000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.580645,0.600000,0.019355
accuracy_0.750000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.600000,0.600000,0.000000
accuracy_0.750000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.580645,0.600000,0.019355
accuracy_0.750000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.600000,0.600000,0.000000
accuracy_0.750000,piccard,5000,200,128,32,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.580645,0.600000,0.019355
accuracy_0.750000,baseline,5000,200,0,0,8192,1,0.000,0.000,0.000,0.000,0.000,0,0,0.600000,0.600000,0.000000
