
======================================================================
  Table 2: Piccard vs Baseline — Varying Universe Size
======================================================================
  U_set    Method      N  #CTs  Encode  Encrypt  Compute  Decrypt  Total (ms)   CT Size      Error  Speedup
-----------------------------------------------------------------------------------------------------------
   1000   Piccard   8192     1   0.051      5.4     12.9    0.330        18.7  256.8 KB     0.0457         
         Baseline   8192     1   0.034      5.4     12.9    0.337        18.7  256.8 KB  0 (exact)     1.0x
   5000   Piccard   8192     1   0.052      5.4     13.0    0.335        18.8  256.8 KB     0.0457         
         Baseline   8192     1   0.035      5.5     12.9    0.338        18.8  256.8 KB  0 (exact)     1.0x
  10000   Piccard   8192     1   0.051      5.5     12.9    0.335        18.8  256.8 KB     0.0457         
         Baseline  16384     1   0.063     10.6     23.4    0.598        34.6  512.8 KB  0 (exact)     1.8x
  50000   Piccard   8192     1   0.051      5.4     12.9    0.333        18.7  256.8 KB     0.0457         
         Baseline  65536     1   0.094     41.7     91.3      2.2       135.3    2.0 MB  0 (exact)     7.2x
