scenario,method,universe_size,set_size,k,m,ring_dim,num_cts,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_universe_1000,piccard,1000,100,128,32,8192,1,0.051,5.432,12.869,0.330,18.653,22052864,263011,0.379032,0.333333,0.045699
vary_universe_1000,baseline,1000,100,0,0,8192,1,0.034,5.444,12.904,0.337,18.708,30310400,263011,0.333333,0.333333,0.000000
vary_universe_5000,piccard,5000,100,128,32,8192,1,0.052,5.448,12.981,0.335,18.809,37683200,263011,0.379032,0.333333,0.045699
vary_universe_5000,baseline,5000,100,0,0,8192,1,0.035,5.465,12.932,0.338,18.804,44875776,263011,0.333333,0.333333,0.000000
vary_universe_10000,piccard,10000,100,128,32,8192,1,0.051,5.450,12.925,0.335,18.802,51822592,263011,0.379032,0.333333,0.045699
vary_universe_10000,baseline,10000,100,0,0,16384,1,0.063,10.567,23.410,0.598,34.632,79609856,525155,0.333333,0.333333,0.000000
vary_universe_50000,piccard,50000,100,128,32,8192,1,0.051,5.445,12.870,0.333,18.682,80527360,263011,0.379032,0.333333,0.045699
vary_universe_50000,baseline,50000,100,0,0,65536,1,0.094,41.681,91.342,2.235,135.343,206766080,2098019,0.333333,0.333333,0.000000
vary_setsize_50,piccard,5000,50,128,32,8192,1,0.029,5.504,13.010,0.339,18.879,206929920,263011,0.387097,0.333333,0.053763
vary_setsize_50,baseline,5000,50,0,0,8192,1,0.034,5.472,12.952,0.345,18.792,206929920,263011,0.333333,0.333333,0.000000
vary_setsize_100,piccard,5000,100,128,32,8192,1,0.051,5.492,13.006,0.336,18.890,206929920,263011,0.379032,0.333333,0.045699
vary_setsize_100,baseline,5000,100,0,0,8192,1,0.034,5.563,13.133,0.340,19.058,206962688,263011,0.333333,0.333333,0.000000
vary_setsize_500,piccard,5000,500,128,32,8192,1,0.250,5.572,13.258,0.342,19.471,207028224,263011,0.395161,0.333333,0.061828
vary_setsize_500,baseline,5000,500,0,0,8192,1,0.035,5.498,12.660,0.333,18.496,207077376,263011,0.333333,0.333333,0.000000
vary_setsize_1000,piccard,5000,1000,128,32,8192,1,0.503,5.536,12.996,0.324,19.364,207159296,263011,0.338710,0.333333,0.005376
vary_setsize_1000,baseline,5000,1000,0,0,8192,1,0.037,5.617,13.349,0.337,19.616,207159296,263011,0.333333,0.333333,0.000000
